name,Solver,time_limit,energy,num_satellites
15_2,CQM Solver,30,5.649,15
15_3,CQM Solver,30,13.057,15
15_4,CQM Solver,30,3.612,15
15_5,CQM Solver,30,5.862,15
15_6,CQM Solver,30,11.213,15
15_7,CQM Solver,30,5.839,15
15_8,CQM Solver,30,3.331,15
15_9,CQM Solver,30,0.005,15
15_10,CQM Solver,30,15.079,15
12_0,CQM Solver,60,19.694,12
12_1,CQM Solver,60,17.62,12
12_2,CQM Solver,60,6.897,12
12_3,CQM Solver,60,20.828,12
12_4,CQM Solver,60,2.08,12
12_5,CQM Solver,60,19.428,12
12_6,CQM Solver,60,34.344,12
12_7,CQM Solver,60,0.004,12
12_8,CQM Solver,60,28.236,12
12_9,CQM Solver,60,14.137,12
12_10,CQM Solver,60,0.319,12
15_0,CQM Solver,60,10.066,15
15_1,CQM Solver,60,20.909,15
15_2,CQM Solver,60,1.747,15
15_3,CQM Solver,60,2.258,15
15_4,CQM Solver,60,0.409,15
15_5,CQM Solver,60,1.313,15
15_6,CQM Solver,60,10.059,15
15_7,CQM Solver,60,1.474,15
15_8,CQM Solver,60,0.006,15
15_9,CQM Solver,60,1.349,15
15_10,CQM Solver,60,2.625,15
3_0,Pyomo IPOpt initial state,30,196.3969427920603,3
3_0,Pyomo IPOpt initial state,60,196.3969427920603,3
3_1,Pyomo IPOpt initial state,30,156.30200559979014,3
3_1,Pyomo IPOpt initial state,60,156.3020055997901,3
3_2,Pyomo IPOpt initial state,30,147.80514056557078,3
3_2,Pyomo IPOpt initial state,60,147.80514056557078,3
3_3,Pyomo IPOpt initial state,30,112.22774720137964,3
3_3,Pyomo IPOpt initial state,60,112.22774720137956,3
3_4,Pyomo IPOpt initial state,30,145.55684400735487,3
3_4,Pyomo IPOpt initial state,60,145.55684400735487,3
3_5,Pyomo IPOpt initial state,30,302.05292527675266,3
3_5,Pyomo IPOpt initial state,60,302.0529252767526,3
3_6,Pyomo IPOpt initial state,30,188.89305735013872,3
3_6,Pyomo IPOpt initial state,60,188.8930573501387,3
