size,solver,energy,time_limit,id
81,Spectral Algorithm,280.8483933015275,5.0,1
81,NL solver,273.07500875085,5.0,1
81,CQM solver,276.95496211275764,5.0,1
81,Pyomo with SCIP,280.5167041629566,5.0,1
81,CQM solver,275.0434858001276,10.0,0
81,NL solver,272.0395803966622,10.0,0
81,Pyomo with SCIP,281.81490936887684,60.0,4
81,CQM solver,275.8084845281319,60.0,4
81,NL solver,272.8820204455344,60.0,4
81,Pyomo with SCIP,281.81490936887684,10.0,4
81,CQM solver,276.65335240755456,10.0,4
81,NL solver,272.89997399214104,10.0,4
81,NL solver,272.7927493976073,5.0,2
81,Spectral Algorithm,278.5141323154674,5.0,2
81,Pyomo with SCIP,280.5167041629566,60.0,1
81,CQM solver,275.69757349190576,60.0,1
81,NL solver,272.7521287979796,60.0,1
81,Pyomo with SCIP,280.5167041629566,10.0,1
81,Pyomo with SCIP,280.141203542038,5.0,2
81,CQM solver,277.5508086286632,5.0,2
81,NL solver,272.65713926517816,5.0,3
81,Spectral Algorithm,280.7443440431088,5.0,3
81,NL solver,272.9846729899509,10.0,2
81,CQM solver,276.54320870741174,10.0,2
81,Pyomo with SCIP,280.141203542038,10.0,2
81,NL solver,272.54959960302307,60.0,2
81,CQM solver,275.6190779439242,60.0,2
81,Pyomo with SCIP,280.141203542038,60.0,2
81,CQM solver,277.0679470479401,10.0,1
81,NL solver,273.0113905828176,10.0,1
81,CQM solver,276.30498366357483,5.0,0
81,Pyomo with SCIP,279.42893291212874,5.0,0
81,Pyomo with SCIP,281.0192552708334,5.0,3
81,CQM solver,276.1707995863309,5.0,3
144,NL solver,701.0939137510412,5.0,4
144,Spectral Algorithm,711.5527964325795,5.0,4
144,CQM solver,713.4662279669179,10.0,3
144,NL solver,701.0411923366115,10.0,3
144,Pyomo with SCIP,,5.0,3
144,CQM solver,714.6058362040893,5.0,3
144,Pyomo with SCIP,712.7024050236739,60.0,3
144,CQM solver,710.7538620183406,60.0,3
144,NL solver,700.222443415804,60.0,3
144,Pyomo with SCIP,716.3478121061574,10.0,3
144,NL solver,700.0443008931763,60.0,2
144,Pyomo with SCIP,715.9388093230541,10.0,2
144,CQM solver,712.9043902585717,10.0,2
144,NL solver,700.6140681174039,10.0,2
144,Pyomo with SCIP,,5.0,2
144,CQM solver,714.5076078249159,5.0,2
144,NL solver,701.6432582804628,5.0,2
144,Spectral Algorithm,713.5713913574056,5.0,2
144,Pyomo with SCIP,711.9314575073355,60.0,1
144,CQM solver,711.3660947880563,60.0,1
144,NL solver,700.1366876828284,60.0,1
144,Pyomo with SCIP,715.2115257897677,10.0,1
144,CQM solver,713.4652241229473,10.0,1
144,NL solver,700.1490923285656,10.0,1
144,Pyomo with SCIP,,5.0,1
144,CQM solver,714.3084752823609,5.0,1
144,NL solver,701.1706871209809,5.0,1
144,Spectral Algorithm,712.9410077016404,5.0,1
144,Pyomo with SCIP,711.5264007406911,60.0,0
144,CQM solver,711.5250756379838,60.0,0
144,NL solver,700.3092833692594,60.0,0
144,Pyomo with SCIP,716.1998564385514,10.0,0
144,CQM solver,712.6187765166158,10.0,0
144,NL solver,700.865342574493,10.0,0
144,Pyomo with SCIP,,5.0,0
144,CQM solver,712.835487619629,5.0,0
144,NL solver,701.3136261972046,5.0,0
144,Spectral Algorithm,711.4138856406635,5.0,0
144,NL solver,701.3296490879488,5.0,3
144,Spectral Algorithm,712.4369713778761,5.0,3
144,Pyomo with SCIP,712.9810318892863,60.0,2
144,CQM solver,712.451944835928,60.0,2
144,Pyomo with SCIP,,5.0,4
144,CQM solver,714.8392294124297,5.0,4
144,Pyomo with SCIP,712.8033028838099,60.0,4
144,CQM solver,710.573041682624,60.0,4
144,NL solver,699.8832827868366,60.0,4
144,Pyomo with SCIP,716.6363654891809,10.0,4
144,CQM solver,713.431507275178,10.0,4
144,NL solver,701.4378746781191,10.0,4
225,NL solver,1435.0076286698977,5.0,0
225,Spectral Algorithm,1450.3737472371824,5.0,0
225,NL solver,1432.287091004216,60.0,0
225,Pyomo with SCIP,,10.0,0
225,CQM solver,1454.4526426115629,10.0,0
225,NL solver,1434.2173640964184,10.0,0
225,Pyomo with SCIP,,5.0,0
225,CQM solver,1458.1481546537295,5.0,0
225,Pyomo with SCIP,1454.082485548041,60.0,0
225,CQM solver,1453.441675416396,60.0,0
225,NL solver,1432.7231436674208,60.0,4
225,Pyomo with SCIP,,10.0,4
225,CQM solver,1456.1385891712198,10.0,4
225,NL solver,1433.4600251120469,10.0,4
225,Pyomo with SCIP,,5.0,4
225,CQM solver,1459.3269321112723,5.0,4
225,Pyomo with SCIP,1452.0404511815518,60.0,4
225,CQM solver,1454.2201306778115,60.0,4
225,Pyomo with SCIP,,10.0,3
225,NL solver,1432.6314827043125,60.0,3
225,CQM solver,1453.7423740843592,60.0,3
225,Pyomo with SCIP,1455.224024007253,60.0,3
225,Spectral Algorithm,1450.8189177133395,5.0,4
225,NL solver,1434.3081438902143,5.0,4
225,NL solver,1432.5746561854214,60.0,1
225,Pyomo with SCIP,,10.0,1
225,CQM solver,1454.7907209904868,10.0,1
225,NL solver,1433.9861491661932,10.0,1
225,Pyomo with SCIP,,5.0,1
225,CQM solver,1458.9570275753474,5.0,1
225,NL solver,1434.8370548172786,5.0,1
225,Spectral Algorithm,1450.3459600908309,5.0,1
225,CQM solver,1453.4700657272151,60.0,1
225,Pyomo with SCIP,1453.755836517637,60.0,1
225,Spectral Algorithm,1451.9026359987463,5.0,2
225,NL solver,1434.525165685177,5.0,2
225,CQM solver,1456.6470807564897,5.0,2
225,Pyomo with SCIP,,5.0,2
225,NL solver,1433.605294234535,10.0,2
225,CQM solver,1455.6643453448578,10.0,2
225,Pyomo with SCIP,,10.0,2
225,NL solver,1432.7056929982716,60.0,2
225,CQM solver,1452.480536778729,60.0,2
225,Pyomo with SCIP,1453.3152170955066,60.0,2
225,Spectral Algorithm,1449.6266090420063,5.0,3
225,NL solver,1434.6896503351256,5.0,3
225,CQM solver,1458.1985092490825,5.0,3
225,Pyomo with SCIP,,5.0,3
225,NL solver,1434.5456280373896,10.0,3
225,CQM solver,1456.2536691958835,10.0,3
400,Pyomo with SCIP,,10.0,3
400,NL solver,3550.929873206928,60.0,3
400,CQM solver,3590.430991589198,60.0,3
400,Pyomo with SCIP,,60.0,3
400,NL solver,3556.310326595069,10.0,2
400,CQM solver,3596.1427800072747,10.0,2
400,Pyomo with SCIP,,10.0,2
400,NL solver,3550.6487640553783,60.0,2
400,CQM solver,3591.327677476302,60.0,2
400,Pyomo with SCIP,,60.0,2
400,Spectral Algorithm,3581.0799385052524,5.0,3
400,NL solver,3560.293249119943,5.0,3
400,Pyomo with SCIP,,10.0,1
400,NL solver,3551.4866383250974,60.0,1
400,CQM solver,3590.794955871576,60.0,1
400,Pyomo with SCIP,,60.0,1
400,Spectral Algorithm,3577.3084275320894,5.0,2
400,NL solver,3559.719195307948,5.0,2
400,NL solver,3560.3385576605447,5.0,4
400,Spectral Algorithm,3579.5617269021336,5.0,4
400,Pyomo with SCIP,,5.0,4
400,CQM solver,,5.0,4
400,CQM solver,3595.4892225626745,10.0,1
400,NL solver,3556.447691701099,10.0,1
400,NL solver,3560.820474548653,5.0,1
400,Spectral Algorithm,3579.3450720768383,5.0,1
400,Pyomo with SCIP,,60.0,0
400,CQM solver,3590.473487905397,60.0,0
400,Pyomo with SCIP,,5.0,2
400,CQM solver,,5.0,2
400,Pyomo with SCIP,,5.0,1
400,CQM solver,,5.0,1
400,CQM solver,,5.0,3
400,Pyomo with SCIP,,5.0,3
400,NL solver,3556.6455763714225,10.0,3
400,CQM solver,3597.0800769643183,10.0,3
400,NL solver,3551.9325625122324,60.0,4
400,Pyomo with SCIP,,10.0,4
400,CQM solver,3596.516820817839,10.0,4
400,NL solver,3556.5556206396204,10.0,4
400,Pyomo with SCIP,,60.0,4
400,CQM solver,3590.1965616198822,60.0,4
400,NL solver,3556.120949118426,10.0,0
400,CQM solver,3598.1884660983515,10.0,0
400,Pyomo with SCIP,,10.0,0
400,NL solver,3552.0110358125467,60.0,0
400,Spectral Algorithm,3578.947002460964,5.0,0
400,NL solver,3559.2616133116026,5.0,0
400,CQM solver,,5.0,0
400,Pyomo with SCIP,,5.0,0
400,Spectral Algorithm,3583.4325594425145,5.0,0
576,CQM solver,6327.979436881257,60.0,2
576,Spectral Algorithm,6306.140646144815,5.0,3
576,NL solver,6288.811097445587,5.0,3
576,CQM solver,6328.8957314290365,60.0,4
576,Pyomo with SCIP,,60.0,2
576,Pyomo with SCIP,,10.0,2
576,NL solver,6271.406033556098,60.0,2
576,CQM solver,,5.0,4
576,Pyomo with SCIP,,5.0,4
576,Pyomo with SCIP,,10.0,4
576,NL solver,6272.326946387978,60.0,4
576,NL solver,6283.437577539215,10.0,4
576,CQM solver,,10.0,4
576,CQM solver,,10.0,2
576,NL solver,6283.284135243903,10.0,2
576,Pyomo with SCIP,,5.0,2
576,CQM solver,,5.0,2
576,NL solver,6290.272951904986,5.0,2
576,Spectral Algorithm,6304.878985353097,5.0,2
576,Pyomo with SCIP,,60.0,1
576,CQM solver,6328.498487350968,60.0,1
576,Pyomo with SCIP,,5.0,3
576,CQM solver,,5.0,3
576,Spectral Algorithm,6304.081378946794,5.0,1
576,NL solver,6289.906190507124,5.0,1
576,CQM solver,,5.0,1
576,Pyomo with SCIP,,5.0,1
576,NL solver,6289.67522493577,5.0,0
576,Spectral Algorithm,6306.813118525919,5.0,0
576,NL solver,6271.194783029099,60.0,1
576,Pyomo with SCIP,,10.0,1
576,Pyomo with SCIP,,5.0,0
576,CQM solver,,5.0,0
576,CQM solver,,10.0,1
576,NL solver,6284.011939816057,10.0,1
576,CQM solver,,10.0,0
576,Pyomo with SCIP,,60.0,4
576,NL solver,6282.505284885164,10.0,3
576,CQM solver,,10.0,3
576,Pyomo with SCIP,,10.0,3
576,NL solver,6271.4827448790265,60.0,3
576,CQM solver,6326.323723957217,60.0,3
576,Pyomo with SCIP,,60.0,3
576,Spectral Algorithm,6308.763359812168,5.0,4
576,NL solver,6289.294410104598,5.0,4
576,Pyomo with SCIP,,60.0,0
576,NL solver,6282.716741728028,10.0,0
576,Pyomo with SCIP,,10.0,0
576,NL solver,6270.289194479997,60.0,0
576,CQM solver,6329.056324546331,60.0,0
729,NL solver,9037.103901426804,60.0,1
729,NL solver,9037.93741658662,60.0,2
729,Pyomo with SCIP,,10.0,2
729,CQM solver,,10.0,2
729,Pyomo with SCIP,,10.0,1
729,CQM solver,,10.0,1
729,NL solver,9054.839888742175,10.0,1
729,Pyomo with SCIP,,60.0,2
729,CQM solver,9106.343477189572,60.0,2
729,CQM solver,,10.0,3
729,NL solver,9055.313762264554,10.0,3
729,Pyomo with SCIP,,5.0,3
729,CQM solver,,5.0,3
729,NL solver,9063.26791265764,5.0,3
729,Spectral Algorithm,9077.403035742733,5.0,3
729,CQM solver,,10.0,4
729,NL solver,9055.500165753254,10.0,4
729,Pyomo with SCIP,,5.0,4
729,CQM solver,,5.0,4
729,NL solver,9064.742485911973,5.0,4
729,Spectral Algorithm,9076.182303263053,5.0,4
729,Pyomo with SCIP,,60.0,3
729,CQM solver,9107.28244613002,60.0,3
729,Pyomo with SCIP,,60.0,4
729,CQM solver,9107.385627072075,60.0,4
729,NL solver,9036.636892710898,60.0,4
729,Pyomo with SCIP,,10.0,4
729,NL solver,9062.704388446751,5.0,0
729,Spectral Algorithm,9076.04547230074,5.0,0
729,CQM solver,,5.0,1
729,Pyomo with SCIP,,5.0,1
729,NL solver,9063.129419866664,5.0,1
729,Spectral Algorithm,9076.716680455278,5.0,1
729,CQM solver,9106.054238027446,60.0,0
729,Pyomo with SCIP,,60.0,0
729,NL solver,9063.912949881757,5.0,2
729,Spectral Algorithm,9078.666730282905,5.0,2
729,NL solver,9037.622091790705,60.0,0
729,Pyomo with SCIP,,10.0,0
729,CQM solver,,5.0,0
729,Pyomo with SCIP,,5.0,0
729,CQM solver,9106.27472484369,60.0,1
729,Pyomo with SCIP,,60.0,1
729,NL solver,9054.741656384918,10.0,0
729,CQM solver,,10.0,0
729,Pyomo with SCIP,,10.0,3
729,NL solver,9037.84885862932,60.0,3
729,CQM solver,,5.0,2
729,Pyomo with SCIP,,5.0,2
729,NL solver,9054.90316616603,10.0,2
